ID;SENSOR;YEAR;MONTH;DAY;DATE;JULIAN;COUNT;NA;SUM;MEAN;MAX;MIN;MEDIAN;RANGE;VAR_S; SD_M ;9003;9009;10262;11118;11147;11155;16261;16338;16351;16381;16404;16426;16460
LC08_199034_20170815;LC08;2017;8;15;15/08/2017;226;13;0;6,015763551;0,462751042;0,591094971;0,263507903;0,468441069;0,327587068;0,008636926;0,092935063;0,591094971;0,529196262;0,371391088;0,372836232;0,431861818;0,263507903;0,431040972;0,475386769;0,538003981;0,560273945;0,468441069;0,5532673;0,429461241
LC08_199034_20170831;LC08;2017;8;31;31/08/2017;242;13;0;6,762342274;0,520180175;0,683815658;0,271954685;0,515173137;0,411860973;0,012061864;0,109826516;0,672268927;0,683815658;0,44830054;0,408560306;0,483982086;0,271954685;0,495915025;0,515173137;0,580756009;0,573264778;0,539330721;0,597571552;0,491448849
LC08_199034_20170916;LC08;2017;9;16;16/09/2017;258;1;12;0,421744317;0,421744317;0,421744317;0,421744317;0,421744317;0;;;;;0,421744317;;;;;;;;;;
LC08_199034_20171002;LC08;2017;10;2;02/10/2017;274;3;10;2,040020049;0,680006683;0,741071403;0,632740974;0,666207671;0,108330429;0,00307668;0,055467828;0,741071403;0,666207671;;;0,632740974;;;;;;;;
LC08_199034_20171103;LC08;2017;11;3;03/11/2017;306;5;8;1,944002196;0,388800439;0,513400853;0,226607785;0,404426545;0,286793068;0,012430523;0,111492254;;;0,338935584;;;0,226607785;;0,404426545;0,513400853;;0,46063143;;
LC08_199034_20171119;LC08;2017;11;19;19/11/2017;322;13;0;8,477590054;0,652122312;0,820298493;0,435335904;0,643316627;0,384962589;0,011032334;0,105034919;0,781941056;0,820298493;0,52913481;0,594436944;0,633423209;0,435335904;0,594567418;0,611522615;0,685950398;0,67289722;0,749615967;0,725149393;0,643316627
LC08_199034_20171205;LC08;2017;12;5;05/12/2017;338;10;3;5,939795643;0,593979564;0,769363165;0,348629326;0,621650517;0,420733839;0,015442483;0,124267786;0,348629326;;0,501396656;0,606789231;;0,455463171;0,61226511;0,631035924;0,685848713;0,662337661;0,769363165;;0,666666687
LC08_199034_20171221;LC08;2017;12;21;21/12/2017;354;13;0;8,180202961;0,629246382;0,809064627;0,453835428;0,630769253;0,355229199;0,008771235;0,09365487;0,585949183;0,645373106;0,505851746;0,622025192;0,56934309;0,453835428;0,630769253;0,633788049;0,692360878;0,611058176;0,809064627;0,753072619;0,667711616
LC08_199034_20180122;LC08;2018;1;22;22/01/2018;21;12;1;7,703241408;0,641936784;0,789178133;0,422287405;0,636104792;0,366890728;0,011271736;0,106168432;0,777710855;0,789178133;0,525132298;0,618095219;0,610570252;0,422287405;0,588785052;0,610823691;0,674750328;0,668596208;0,763197601;;0,654114366
LC08_199034_20180207;LC08;2018;2;7;07/02/2018;37;5;8;2,714280978;0,542856196;0,791535318;0,208892301;0,61032027;0,582643017;0,070745358;0,265979996;0,78078407;0,791535318;;0,208892301;0,61032027;0,322749019;;;;;;;
